,ranking,isAD,name,businessURL,categories,priceRange,rating,reviewCount,neighborhoods,phone,website,scrollablePhotos,longitudelatitude.latitude,longitudelatitude.longitude,longitudelatitude,neighborhoods_2
0,,True,Meijer,https://www.yelp.com/adredir?ad_business_id=CX_sBoU9U43mnyZ2OhapQw&amp;campaign_id=-RglMinnS-U5faCx8Prbqw&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmeijer-evergreen-park&amp;request_id=21b99ca62133d88e&amp;signature=a9683418e943c11e068b474bccddc81a77bef8a139bfc69a88385f8218d8204d&amp;slot=0,"[{'title': 'Toy Stores', 'url': '/search?find_desc=Toy+Stores&amp;find_loc=Chicago%2C+IL'}, {'title': 'Books, Mags, Music &amp; Video', 'url': '/search?find_desc=Books%2C+Mags%2C+Music+%26+Video&amp;find_loc=Chicago%2C+IL'}, {'title': 'Home &amp; Garden', 'url': '/search?find_desc=Home+%26+Garden&amp;find_loc=Chicago%2C+IL'}]",,2.8,65,[],(708) 499-8100,/adredir?ad_business_id=CX_sBoU9U43mnyZ2OhapQw&amp;campaign_id=-RglMinnS-U5faCx8Prbqw&amp;click_origin=search_results_visit_website&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz_redir%3Fcachebuster%3D1723293519%26s%3D220841234acf5423db98ffc1ade7d3625818762ccb16716d86efec91562cccc3%26src_bizid%3DCX_sBoU9U43mnyZ2OhapQw%26url%3Dhttps%253A%252F%252Fwww.meijer.com%252Fshopping%252Fstore-locator%252F265.html%253Fcmpid%253DLM%253AWeb%253A%253A%253A%253A05112021%253A%253AYelpGrocery%26website_link_type%3Dwebsite&amp;request_id=21b99ca62133d88e&amp;signature=b72de7292efe0f86b1771c3a7ec0c040786f9e9ce89cc1f8d2b6f030b7c134fc&amp;slot=0,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/ampqPW_HWjz3_doO5LR59g/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/ampqPW_HWjz3_doO5LR59g/1000s.jpg 2.87x'}]",41.908418,-87.674603,,
1,,True,Smoothie King,https://www.yelp.com/adredir?ad_business_id=XPGXZAJ-Gu7FlmMk4ze5OA&amp;campaign_id=FiYbMWFjoHMWxBBbw3ELkQ&amp;click_origin=search_results&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsmoothie-king-oak-park&amp;request_id=21b99ca62133d88e&amp;signature=df89b207f3ad05ddc4df178c3e091d11269cca7fe27dee0e9989b72b8447fb75&amp;slot=1,"[{'title': 'Juice Bars &amp; Smoothies', 'url': '/search?find_desc=Juice+Bars+%26+Smoothies&amp;find_loc=Chicago%2C+IL'}]",,2.9,7,[],(708) 972-1016,/adredir?ad_business_id=XPGXZAJ-Gu7FlmMk4ze5OA&amp;campaign_id=FiYbMWFjoHMWxBBbw3ELkQ&amp;click_origin=search_results_visit_website&amp;placement=vertical_0&amp;placement_slot=0&amp;redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz_redir%3Fcachebuster%3D1723293519%26s%3D7722f604e7e2333d3f323dce2128da51d3f85de895cfd0378a83f71a2da1d0e7%26src_bizid%3DXPGXZAJ-Gu7FlmMk4ze5OA%26url%3Dhttps%253A%252F%252Flocations.smoothieking.com%252Fll%252Fus%252Fil%252Foak-park%252F1016-lake-st%252F%26website_link_type%3Dwebsite&amp;request_id=21b99ca62133d88e&amp;signature=edac2dc9f29eac3a028003f2d5c2177ba6dab6011277a78dc467d36c8ed5fd7e&amp;slot=1,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/FJ_abAnE-WES_ey-faVYPQ/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/FJ_abAnE-WES_ey-faVYPQ/1000s.jpg 2.87x'}]",41.82729,-87.6409818,,
2,1.0,False,The Wormhole Coffee,https://www.yelp.com/biz/the-wormhole-coffee-chicago-3?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}, {'title': 'Cafes', 'url': '/search?find_desc=Cafes&amp;find_loc=Chicago%2C+IL'}]",$,4.4,1295,['Wicker Park'],(331) 757-3050,http://www.thewormhole.us,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/x17h1PDfjiTXcCqCwnu2lw/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/x17h1PDfjiTXcCqCwnu2lw/1000s.jpg 2.87x'}]",41.91443768472304,-87.68399506816456,,Wicker Park
3,2.0,False,The Stockyard Coffeehouse,https://www.yelp.com/biz/the-stockyard-coffeehouse-chicago?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}]",$$,4.7,89,['Bridgeport'],(312) 866-5886,http://www.stockyardcoffeehouse.com,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/U5mE6soYXvIuXbmGpCTYdg/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/U5mE6soYXvIuXbmGpCTYdg/1000s.jpg 2.87x'}]",41.9129616,-87.68759109999999,,Bridgeport
4,3.0,False,Thrd Coffee,https://www.yelp.com/biz/thrd-coffee-chicago?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}]",,4.3,25,['Bucktown'],,http://thrdcoffee.com,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/2clJr5n5HHzLimxIPSht_w/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/2clJr5n5HHzLimxIPSht_w/1000s.jpg 2.87x'}]",41.89579854229405,-87.67677434311534,,Bucktown
5,4.0,False,Frera,https://www.yelp.com/biz/frera-chicago?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}, {'title': 'Juice Bars &amp; Smoothies', 'url': '/search?find_desc=Juice+Bars+%26+Smoothies&amp;find_loc=Chicago%2C+IL'}, {'title': 'Desserts', 'url': '/search?find_desc=Desserts&amp;find_loc=Chicago%2C+IL'}]",,5.0,16,['West Town'],,http://freradesserts.com,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/wcRErorc1q3MAQxR76WN8Q/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/wcRErorc1q3MAQxR76WN8Q/1000s.jpg 2.87x'}]",41.88177866103847,-87.64840149999999,,West Town
6,5.0,False,Prequel Cafe,https://www.yelp.com/biz/prequel-cafe-chicago?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}, {'title': 'Desserts', 'url': '/search?find_desc=Desserts&amp;find_loc=Chicago%2C+IL'}]",,4.5,32,['Ukrainian Village'],(312) 733-2701,https://prequelchicago.com,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/29YIHeGJxtcnHDzUQCC8rQ/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/29YIHeGJxtcnHDzUQCC8rQ/1000s.jpg 2.87x'}]",41.9173326747872,-87.7108700909343,,Ukrainian Village
7,6.0,False,Monday Coffee,https://www.yelp.com/biz/monday-coffee-chicago?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}]",,5.0,2,['Greektown'],,https://www.mondaycoffee.co,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/_ptgl29o_IfollpUZkzOMw/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/_ptgl29o_IfollpUZkzOMw/1000s.jpg 2.87x'}]",41.9244297,-87.7038948,,Greektown
8,7.0,False,Damn Fine Coffee Bar,https://www.yelp.com/biz/damn-fine-coffee-bar-chicago-2?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}]",$,4.3,116,['Logan Square'],(773) 904-7051,http://www.damnfinechicago.com,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/VboKsMDgB0CZ2nQ3Ig22Nw/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/VboKsMDgB0CZ2nQ3Ig22Nw/1000s.jpg 2.87x'}]",41.9018703,-87.66704,,Logan Square
9,8.0,False,Sip of Hope,https://www.yelp.com/biz/sip-of-hope-chicago-2?osq=Coffee+Shop,"[{'title': 'Coffee &amp; Tea', 'url': '/search?find_desc=Coffee+%26+Tea&amp;find_loc=Chicago%2C+IL'}]",$,4.8,134,['Logan Square'],(773) 661-6986,http://sipofhope.com,"[{'src': 'https://s3-media0.fl.yelpcdn.com/bphoto/6MFYUcTsedPDFEOlanMgfA/348s.jpg', 'srcset': 'https://s3-media0.fl.yelpcdn.com/bphoto/6MFYUcTsedPDFEOlanMgfA/1000s.jpg 2.87x'}]",41.903612109988416,-87.6770480758819,,Logan Square
